tab 	pmag_sites
er_analyst_mail_names	er_citation_names	er_location_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_direction_type	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
	This study	unknown	Z71	Z71.1a:Z71.2a:Z71.3a:Z71.4a:Z71.5a:Z71.6a:Z71.7a:Z71.8a	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:DE-BFL-O:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	6.2	HEM	30.6	Site direction included in results table		-53.1	9.9827e+02	9.9827e+02	Years Cal BP	82	8	8	0		7.9142	100
	This study	unknown	Z72	Z72.1a:Z72.2a:Z72.3a:Z72.4a:Z72.5a:Z72.6a:Z72.7a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	44.9	LOW	2.3	Site direction included in results table		47.3	9.9827e+02	9.9827e+02	Years Cal BP	3	7	7	0		4.8269	0
	This study	unknown	Z72	Z72.1a:Z72.2a:Z72.3a:Z72.4a:Z72.5a:Z72.6a:Z72.7a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	4.5	MAG	177.0	Site direction included in results table		-79.6	9.9827e+02	9.9827e+02	Years Cal BP	182	7	7	0		6.9670	0
	This study	unknown	Z72	Z72.1a:Z72.3a:Z72.4a:Z72.5a:Z72.6a:Z72.7a	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	42.7	HEM	320.0	Site direction included in results table		-19.0	9.9827e+02	9.9827e+02	Years Cal BP	3	6	6	0		4.5368	0
	This study	unknown	Z72	Z72.1a:Z72.2a:Z72.3a:Z72.4a:Z72.5a:Z72.6a:Z72.7a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	44.9	LOW	305.5	Site direction included in results table		65.3	9.9827e+02	9.9827e+02	Years Cal BP	3	7	7	0		4.8267	100
	This study	unknown	Z72	Z72.1a:Z72.2a:Z72.3a:Z72.4a:Z72.5a:Z72.6a:Z72.7a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	4.5	MAG	54.0	Site direction included in results table		-58.7	9.9827e+02	9.9827e+02	Years Cal BP	182	7	7	0		6.9671	100
	This study	unknown	Z72	Z72.1a:Z72.3a:Z72.4a:Z72.5a:Z72.6a:Z72.7a	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	42.7	HEM	329.6	Site direction included in results table		-9.0	9.9827e+02	9.9827e+02	Years Cal BP	3	6	6	0		4.5366	100
	This study	unknown	Z73	Z73.1a:Z73.2a:Z73.3a:Z73.4a:Z73.5a:Z73.6a:Z73.7a:Z73.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	13.9	LOW	330.5	Site direction included in results table		76.5	9.9827e+02	9.9827e+02	Years Cal BP	17	8	8	0		7.5866	0
	This study	unknown	Z73	Z73.4a:Z73.5a:Z73.7a:Z73.8a	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	10.5	MAG	211.3	Site direction included in results table		70.8	9.9827e+02	9.9827e+02	Years Cal BP	77	4	4	0		3.9612	0
	This study	unknown	Z73	Z73.1a:Z73.2a:Z73.3a:Z73.4a:Z73.5a:Z73.6a:Z73.7a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	14.4	MID	226.3	Site direction included in results table		-80.9	9.9827e+02	9.9827e+02	Years Cal BP	19	7	7	0		6.6766	0
